Cancer,Expected,Actual,Match
LIHC,0.7645011600928074,0.7645011600928074,True
BRCA,0.6844027125717267,0.6844027125717267,True
OV,0.6192501994150492,0.6192501994150492,True
PAAD,0.6401011607548148,0.6401011607548148,True
PRAD,0.8092307692307692,0.8092307692307692,True
